Time Recorded,Amount,Transaction Time,Device,Location,Transaction Type,ML Probability,Context Risk,Risk Score,Risk Level,Decision
2026-09-05 10:13:40,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487,0,53.0839,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 10:59:49,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / STEP-UP AUTH
2026-09-05 10:59:51,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / STEP-UP AUTH
2026-09-05 11:10:59,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:12:21,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:12:33,10000.0,14:00,New Device,Unusual Location,Large Transfer,66.35487365722656,21,67.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:15:04,5000.0,14:00,New Device,Unusual Location,Online Purchase,66.35487365722656,19,65.75056457519531,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:38:40,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:44:16,5000.0,14:00,New Device,Unusual Location,Normal Purchase,66.35487365722656,16,63.75056838989258,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:44:54,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:44:56,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:44:58,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:45:09,5000.0,14:00,New Device,Unusual Location,Normal Purchase,66.35487365722656,16,63.75056838989258,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:45:10,5000.0,14:00,New Device,Unusual Location,Normal Purchase,66.35487365722656,16,63.75056838989258,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 11:58:54,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:20:18,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:20:20,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:23:25,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:31:08,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:32:59,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:36:31,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:36:32,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:41:36,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:45:03,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:49:27,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 12:49:28,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 13:01:27,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 13:51:40,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 13:54:10,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:08:54,250.0,14:00,Trusted Device,Usual Location,Normal Purchase,65.80032348632812,0,52.6402587890625,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:08:58,250.0,14:00,Trusted Device,Usual Location,Normal Purchase,65.80032348632812,0,52.6402587890625,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:12:39,250.0,14:00,Trusted Device,Usual Location,Normal Purchase,65.80032348632812,0,52.6402587890625,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:14:28,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:21:00,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:21:05,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:24:10,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:32:59,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:44:43,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:46:55,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 15:54:14,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:10:01,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:10:05,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:23:30,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:23:35,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:24:37,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:25:29,1000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:25:30,1000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:25:34,1000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:25:36,1000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:25:37,1000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:25:43,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:25:51,1000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:26:06,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:26:07,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:26:52,1000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:26:53,1000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:27:22,1000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:27:57,100000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,10,59.75056838989258,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:28:31,5000.0,14:00,New Device,Usual Location,Normal Purchase,66.35487365722656,8,58.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:28:57,5000.0,14:00,New Device,Unusual Location,Normal Purchase,66.35487365722656,16,63.75056838989258,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:29:47,5000.0,14:00,Trusted Device,Unusual Location,Normal Purchase,66.35487365722656,8,58.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:30:14,5000.0,02:00,Trusted Device,Usual Location,Normal Purchase,10.097161293029783,6,12.077729225158691,LOW RISK,APPROVE
2026-09-05 16:30:57,5000.0,14:00,Trusted Device,Usual Location,Large Transfer,66.35487365722656,5,56.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:31:27,5000.0,14:00,Trusted Device,Usual Location,Online Purchase,66.35487365722656,3,55.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:32:30,5000.0,14:00,Trusted Device,Usual Location,Large Transfer,66.35487365722656,5,56.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:32:35,5000.0,14:00,Trusted Device,Usual Location,Large Transfer,66.35487365722656,5,56.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:38:04,5000.0,14:00,Trusted Device,Unusual Location,Large Transfer,66.35487365722656,13,61.75056838989258,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:38:10,5000.0,14:00,Trusted Device,Usual Location,Large Transfer,66.35487365722656,5,56.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:38:11,5000.0,14:00,Trusted Device,Usual Location,Large Transfer,66.35487365722656,5,56.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:39:39,100000.0,14:00,Trusted Device,Usual Location,Large Transfer,66.35487365722656,15,63.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:39:52,5000.0,14:00,Trusted Device,Usual Location,Large Transfer,66.35487365722656,5,56.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:47:37,5000.0,14:00,New Device,Usual Location,Normal Purchase,66.35487365722656,8,58.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 16:47:38,5000.0,14:00,New Device,Usual Location,Normal Purchase,66.35487365722656,8,58.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 19:11:16,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 19:11:22,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 19:11:23,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.08390045166016,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 19:11:39,5000.0,14:00,Trusted Device,Unusual Location,Normal Purchase,66.35487365722656,8,58.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 19:11:40,5000.0,14:00,Trusted Device,Unusual Location,Normal Purchase,66.35487365722656,8,58.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 19:22:43,5000.0,14:00,New Device,Usual Location,Normal Purchase,66.35487365722656,8,58.41723251342773,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 19:26:52,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.083900451660156,MEDIUM RISK,VERIFY / AUTHENTICATE
2026-09-05 19:26:57,5000.0,14:00,Trusted Device,Usual Location,Normal Purchase,66.35487365722656,0,53.083900451660156,MEDIUM RISK,VERIFY / AUTHENTICATE
